indicator,period,dimension,dimension_value,value,unit,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
tourists_by_purpose,2023,trip_purpose|nationality,Business | Total,10815.835,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Visiting Friends & Relatives | Total,36407.362,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2023,trip_purpose|nationality,Other | Total,6042.497,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2024,trip_purpose|nationality,Religious | Total,23748.058000000005,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2024,trip_purpose|nationality,Leisure | Total,39802.158,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2024,trip_purpose|nationality,Business | Total,10908.447,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2024,trip_purpose|nationality,Visiting Friends & Relatives | Total,36046.473000000005,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2024,trip_purpose|nationality,Other | Total,5379.665999999999,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2025,trip_purpose|nationality,Religious | Total,27933.332,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2025,trip_purpose|nationality,Leisure | Total,37255.23400000001,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2025,trip_purpose|nationality,Business | Total,10784.989,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2025,trip_purpose|nationality,Visiting Friends & Relatives | Total,42028.742,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2025,trip_purpose|nationality,Other | Total,4576.003,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2014,trip_purpose|tourist_type,Religious | Inbound,31372.0,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2015,trip_purpose|tourist_type,Religious | Inbound,47765.821025684,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2016,trip_purpose|tourist_type,Religious | Inbound,54090.5778610591,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2017,trip_purpose|tourist_type,Religious | Inbound,70909.1435143147,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2018,trip_purpose|tourist_type,Religious | Inbound,68837.79192249691,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2019,trip_purpose|tourist_type,Religious | Inbound,68077.0202295627,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2020,trip_purpose|tourist_type,Religious | Inbound,11101.6903757638,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2021,trip_purpose|tourist_type,Religious | Inbound,1783.0,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2022,trip_purpose|tourist_type,Religious | Inbound,37255.0,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2014,trip_purpose|tourist_type,Leisure | Inbound,2127.0,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2015,trip_purpose|tourist_type,Leisure | Inbound,4954.06816396099,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2016,trip_purpose|tourist_type,Leisure | Inbound,2880.57635571463,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2017,trip_purpose|tourist_type,Leisure | Inbound,1703.4581252074402,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2018,trip_purpose|tourist_type,Leisure | Inbound,1991.23594681827,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
spending_by_purpose,2019,trip_purpose|tourist_type,Leisure | Inbound,5048.877119575371,sar_million,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
