id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,latitude,longitude
1002,Pizza Hut,RESTAURANT,Fast Food|Italian|Beverages|International|Pizza|Pasta|Salads,4.2,121,restaurants,24.7046004,46.6647666
1003,KFC,RESTAURANT,Fast Food|Beverages,4.1,206,restaurants,24.70457656,46.66476457
1004,Krispy Kreme Doughnuts,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.3,18,restaurants,24.704659,46.665018
1005,Mama Noura,RESTAURANT,Fast Food|Grill|Arabic|Beverages|Shawarma,4.2,4789,restaurants,24.724183,46.65665641
1006,Herfy,RESTAURANT,Sandwich|Fast Food|Burgers,4.2,71,restaurants,24.7234317,46.6647955
1007,Jaldi Cup,RESTAURANT,Arabic,3.5,8,restaurants,24.7243784,46.6574804
1008,Indian Tandoor,RESTAURANT,Seafood|Indian|Beverages|Pasta|Meat,4.3,64,restaurants,24.72432,46.656753
1009,Yemeni dish,RESTAURANT,Breakfast,2.9,13,restaurants,24.7235651,46.6646772
1010,Makani,RESTAURANT,Indian,4.1,188,restaurants,24.724548,46.657405
1011,McDonald's KSA,RESTAURANT,Sandwich|Fast Food|Desserts|American|Beverages|Coffee|International|Breakfast,4,943,restaurants,24.713274,46.673424
1012,Domino's Pizza,RESTAURANT,Fast Food|Italian|American|International|Pizza,4.4,128,restaurants,24.7219,46.648803
1013,Shaglooba,RESTAURANT,Arabic|Bakery,4,4,restaurants,24.70267875,46.65021075
1014,Mission Wok,RESTAURANT,Asian|Japanese,1,3,restaurants,24.7113843,46.6743785
1015,SAMURAI,RESTAURANT,Fast Food|Grill|Seafood,4.4,29,restaurants,24.71188126,46.67519946
1016,Les Jours De Joie,RESTAURANT,Desserts,3.9,16,restaurants,24.721925,46.6465214
1017,Costa Coffee®,RESTAURANT,Sandwich|Desserts|Beverages|Coffee,4.6,18,restaurants,24.7109135,46.6755442
1018,Dhahia Juice,RESTAURANT,Beverages|Juices,4.4,236,restaurants,24.7224058,46.6466614
1019,Lorenzo Pizza,RESTAURANT,Sandwich|Fast Food|Italian|International|Pizza|Pasta|Salads,4.4,1002,restaurants,24.7141166,46.6772403
1020,Chuck E Cheese's,RESTAURANT,Fast Food|Italian|American|Pizza,4.1,45,restaurants,24.708811,46.676865
1021,Logimat And Karak,RESTAURANT,Desserts|Beverages|Coffee,4.2,151,restaurants,24.698491,46.669175
