Year,Economic Sectors ID,Economic Sectors,Nationality ID,Nationality,Trip Purpose Name ID,Trip Purpose Name,Tourists
2022,Z,Tourism,3,Total,4,Visiting Friends & Relatives,46731.135999999984
2022,Z,Tourism,3,Total,5,Other,5514.226999999997
2023,Z,Tourism,1,Saudi,2,Leisure,2797.666
2023,Z,Tourism,1,Saudi,3,Business,127.447
2023,Z,Tourism,1,Saudi,4,Visiting Friends & Relatives,2233.372
2023,Z,Tourism,1,Saudi,5,Other,328.784
2023,Z,Tourism,2,Non Saudi,2,Leisure,537.91
2023,Z,Tourism,2,Non Saudi,3,Business,629.3969999999999
2023,Z,Tourism,2,Non Saudi,4,Visiting Friends & Relatives,2940.0730000000003
2023,Z,Tourism,2,Non Saudi,5,Other,312.02599999999995
2023,Z,Tourism,3,Total,1,Religious,21393.298999999995
2023,Z,Tourism,3,Total,2,Leisure,44592.044
2023,Z,Tourism,3,Total,3,Business,10815.835000000001
2023,Z,Tourism,3,Total,4,Visiting Friends & Relatives,36407.362
2023,Z,Tourism,3,Total,5,Other,6042.497
2024,Z,Tourism,3,Total,1,Religious,23748.058000000005
2024,Z,Tourism,3,Total,2,Leisure,39802.158
2024,Z,Tourism,3,Total,3,Business,10908.447
2024,Z,Tourism,3,Total,4,Visiting Friends & Relatives,36046.473000000005
2024,Z,Tourism,3,Total,5,Other,5379.665999999999
2025,Z,Tourism,3,Total,1,Religious,27933.332000000002
2025,Z,Tourism,3,Total,2,Leisure,37255.23400000001
2025,Z,Tourism,3,Total,3,Business,10784.989000000001
2025,Z,Tourism,3,Total,4,Visiting Friends & Relatives,42028.742
2025,Z,Tourism,3,Total,5,Other,4576.003
