Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Month ID,Month,Occupancy Rate
1,Hotels,4,Al-Qaseem,2021,202106,2021-06,0.3617705556260844
1,Hotels,4,Al-Qaseem,2021,202107,2021-07,0.41839229770000763
1,Hotels,4,Al-Qaseem,2021,202108,2021-08,0.4230994494553122
1,Hotels,4,Al-Qaseem,2021,202109,2021-09,0.3930165501441719
1,Hotels,4,Al-Qaseem,2021,202110,2021-10,0.3536469572723349
1,Hotels,4,Al-Qaseem,2021,202111,2021-11,0.34736526347365265
1,Hotels,4,Al-Qaseem,2021,202112,2021-12,0.4475158759805753
1,Hotels,4,Al-Qaseem,2022,202201,2022-01,0.3989146749797945
1,Hotels,4,Al-Qaseem,2022,202202,2022-02,0.4057161629434954
1,Hotels,4,Al-Qaseem,2022,202203,2022-03,0.3966208763661887
1,Hotels,4,Al-Qaseem,2022,202204,2022-04,0.31060090999424717
1,Hotels,4,Al-Qaseem,2022,202205,2022-05,0.3708736928340803
1,Hotels,4,Al-Qaseem,2022,202206,2022-06,0.283827560428607
1,Hotels,4,Al-Qaseem,2022,202207,2022-07,0.3500847496449677
1,Hotels,4,Al-Qaseem,2022,202208,2022-08,0.3927219663459346
1,Hotels,4,Al-Qaseem,2022,202209,2022-09,0.38471131063723657
1,Hotels,4,Al-Qaseem,2022,202210,2022-10,0.3805866199705496
1,Hotels,4,Al-Qaseem,2022,202211,2022-11,0.4170461013090495
1,Hotels,4,Al-Qaseem,2022,202212,2022-12,0.402797354439987
1,Hotels,4,Al-Qaseem,2023,202301,2023-01,0.4069715209774504
1,Hotels,4,Al-Qaseem,2023,202302,2023-02,0.37778416439143553
1,Hotels,4,Al-Qaseem,2023,202303,2023-03,0.359902540898016
1,Hotels,4,Al-Qaseem,2023,202304,2023-04,0.3411365902293121
1,Hotels,4,Al-Qaseem,2023,202305,2023-05,0.3973386249562274
1,Hotels,4,Al-Qaseem,2023,202306,2023-06,0.35434027050793515
1,Hotels,4,Al-Qaseem,2023,202307,2023-07,0.4065221794612113
1,Hotels,4,Al-Qaseem,2023,202308,2023-08,0.44381963237619937
1,Hotels,4,Al-Qaseem,2023,202309,2023-09,0.4120421753607103
1,Hotels,4,Al-Qaseem,2023,202310,2023-10,0.3847205008421521
1,Hotels,4,Al-Qaseem,2023,202311,2023-11,0.45659804572621193
1,Hotels,4,Al-Qaseem,2023,202312,2023-12,0.39659797585660284
1,Hotels,4,Al-Qaseem,2024,202401,2024-01,0.4736089215858002
1,Hotels,4,Al-Qaseem,2024,202402,2024-02,0.5167736883320282
1,Hotels,4,Al-Qaseem,2024,202403,2024-03,0.282350392969862
1,Hotels,4,Al-Qaseem,2024,202404,2024-04,0.40196319773524525
