entertainment_id,name,genre,rating,review_count,city,region,country,best_comment,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
entertainment_00010,Saudi Aramco Abqaiq Community theater,Movie theater,3.9,13,Buqayq,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00011,Vox Cinema - Riyadh Front,Movie theater,4.3,5800,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00012,AMC Cinemas Riyadh Gallery 9,Movie theater,4.2,1500,Riyadh,Riyadh,Saudi Arabia,"""Fancy chairs ,nice screens and snacks""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00013,vox cinema,Movie theater,4.2,724,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00014,Kmax Cinema,Movie theater,4.1,130,King Abdullah Economic City,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00015,AMC - Hafr Al Batin 8,Movie theater,4.2,23,Sh,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00016,Muvi Boutique Cinema,Movie theater,4.4,376,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00017,Empire Cinemas - Head Office,Movie theater,4.0,36,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00018,AMC Cinemas KAFD,Movie theater,3.9,5300,Riyadh,Riyadh,Saudi Arabia,"""Spacious and nice theater""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00019,Cinépolis Cinemas - Lulu Mall,Movie theater,4.0,1300,Dammam,Eastern Province,Saudi Arabia,Upscale digital movie theater,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00020,Vox Cinema - Riyadh Front,Movie theater,4.3,5800,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00021,AMC Cinemas Riyadh Gallery 9,Movie theater,4.2,1500,Riyadh,Riyadh,Saudi Arabia,"""Fancy chairs ,nice screens and snacks""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00022,vox cinema,Movie theater,4.2,724,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00023,Kmax Cinema,Movie theater,4.1,130,King Abdullah Economic City,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00024,AMC - Hafr Al Batin 8,Movie theater,4.2,23,Sh,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00025,Muvi Boutique Cinema,Movie theater,4.4,376,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00026,Empire Cinemas - Head Office,Movie theater,4.0,36,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00027,Cinépolis Cinemas - Al Jamea Plaza,Movie theater,4.2,1800,Jeddah,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00028,Muvi Cinemas | موڤي سينما,Movie theater,4.2,1900,Riyadh,Riyadh,Saudi Arabia,"""But small theater""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00029,Muvi Cinemas | موڤي سينما,Movie theater,4.3,2800,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00030,ڤوكس سينما ذا روف,Movie theater,4.3,3600,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00031,AMC Cinemas Karam 5,Movie theater,4.1,359,Al Majma'Ah,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00032,VOX Cinemas,Movie theater,4.4,2800,Jeddah,Makkah,Saudi Arabia,"""Wide and clean space.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00033,Vox Cinema - Riyadh Park Mall,Movie theater,4.1,7400,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00034,Ithra Theatre,Childrens theater,4.7,489,Dhahran,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00035,Empire Cinemas Jeddah,Movie theater,4.1,1300,Jeddah,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00036,VOX Cinemas,Movie theater,4.2,1900,Riyadh,Riyadh,Saudi Arabia,"""Small theater with good service.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00037,Empire Cinemas Khobar,Movie theater,3.9,1300,Al Khobar,Eastern Province,Saudi Arabia,"""Lovely place and staff, prices are reasonable, screens chairs are wonderful 👌🏻""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00038,Muvi Cinemas | موڤي سينما,Movie theater,4.3,2800,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00039,ڤوكس سينما ذا روف,Movie theater,4.3,3600,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00040,AMC Cinemas Karam 5,Movie theater,4.1,359,Al Majma'Ah,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00041,VOX Cinemas,Movie theater,4.4,2800,Jeddah,Makkah,Saudi Arabia,"""Wide and clean space.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00042,Vox Cinema - Riyadh Park Mall,Movie theater,4.1,7400,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00043,Ithra Theatre,Childrens theater,4.7,489,Dhahran,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00044,Empire Cinemas Jeddah,Movie theater,4.1,1300,Jeddah,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00045,VOX Cinemas,Movie theater,4.2,1900,Riyadh,Riyadh,Saudi Arabia,"""Small theater with good service.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00046,Najmah Theater,Movie theater,4.0,81,Ras Tanura,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00047,AMC Cinemas Tabuk Boulevard,Movie theater,4.3,55,Tabuk,Tabuk,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00048,AMC Cinemas Panorama 10,Movie theater,4.3,1900,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00049,Muvi Cinemas | موڤي سينما,Movie theater,4.3,1900,Al Ahsa,Eastern Province,Saudi Arabia,"""Very good place, great experience""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00050,Muvi Cinemas | موڤي سينما,Movie theater,4.1,2700,Dammam,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00051,AMC cinemas,Movie theater,4.2,268,Hafar Al Batin,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00052,Muvi Cinemas | موڤي سينما,Movie theater,4.4,449,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00053,AMC Dawadmi 3,Movie theater,3.9,82,Al Duwadimi,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
