canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_003209,H,place,Riyadh,Riyadh,24.6546926,46.5861826,1,1,riyadh_places_kaggle,places_06234
RYD_003210,H Burger,place,Riyadh,Riyadh,24.82069819,46.5911783,1,1,riyadh_places_kaggle,places_04618
RYD_003211,H-box,place,Riyadh,Riyadh,24.7403814,46.7789616,1,1,riyadh_places_kaggle,places_05829
RYD_003212,H2E,place,Riyadh,Riyadh,24.7966263,46.6513515,1,1,riyadh_places_kaggle,places_03259
RYD_003213,HABAR,place,Riyadh,Riyadh,24.8229195,46.7995362,1,1,riyadh_places_kaggle,places_05026
RYD_003214,HABAR,place,Riyadh,Riyadh,24.6298364,46.5619495,1,1,riyadh_places_kaggle,places_07029
RYD_003215,HAGAG,place,Riyadh,Riyadh,24.7951712,46.702114,1,1,riyadh_places_kaggle,places_05655
RYD_003216,HAJI TIKKA,place,Riyadh,Riyadh,24.81016762,46.60145598,1,1,riyadh_places_kaggle,places_04380
RYD_003217,HALL,place,Riyadh,Riyadh,24.7778059,46.768419,1,1,riyadh_places_kaggle,places_04550
RYD_003218,HALL,place,Riyadh,Riyadh,24.6977192,46.7618933,1,1,riyadh_places_kaggle,places_06934
RYD_003219,HAMIDA,place,Riyadh,Riyadh,24.80885226,46.59431816,1,1,riyadh_places_kaggle,places_04544
RYD_003220,HAMY,place,Riyadh,Riyadh,24.7949934,46.6988074,1,1,riyadh_places_kaggle,places_01704
RYD_003221,HAMY,place,Riyadh,Riyadh,24.7029146,46.7799443,1,1,riyadh_places_kaggle,places_07653
RYD_003222,HANINI,place,Riyadh,Riyadh,24.7765176,46.6182293,1,1,riyadh_places_kaggle,places_04225
RYD_003223,HAPIC Burger,place,Riyadh,Riyadh,24.7318399,46.6483465,1,1,riyadh_places_kaggle,places_01934
RYD_003224,HAPPY BEAR MILK TEA,place,Riyadh,Riyadh,24.7000531,46.7143362,1,1,riyadh_places_kaggle,places_05155
RYD_003225,HASHTAGONE,place,Riyadh,Riyadh,24.68192359,46.62344355,1,1,riyadh_places_kaggle,places_05881
RYD_003226,HAWYNA,place,Riyadh,Riyadh,24.706726,46.707989,1,1,riyadh_places_kaggle,places_05001
RYD_003227,HAZZAT CHAPATI,place,Riyadh,Riyadh,24.6909952,46.6909723,1,1,riyadh_places_kaggle,places_00767
RYD_003228,HAZZAT CHAPATI,place,Riyadh,Riyadh,24.76391738,46.67973464,1,1,riyadh_places_kaggle,places_03627
RYD_003229,HAZZAT CHAPATI,place,Riyadh,Riyadh,24.7406218,46.7789131,1,1,riyadh_places_kaggle,places_07299
RYD_003230,HAk COOKIES,place,Riyadh,Riyadh,24.8025633,46.6249555,1,1,riyadh_places_kaggle,places_03900
RYD_003231,HAk cafe,place,Riyadh,Riyadh,24.6926492,46.6949415,1,1,riyadh_places_kaggle,places_02056
RYD_003232,HAk cafe,place,Riyadh,Riyadh,24.7412717,46.7784373,1,1,riyadh_places_kaggle,places_05094
RYD_003233,HAk cafe,place,Riyadh,Riyadh,24.5891014,46.6703949,1,1,riyadh_places_kaggle,places_08499
RYD_003234,HB,place,Riyadh,Riyadh,24.69076206,46.78434499,1,1,riyadh_places_kaggle,places_05990
RYD_003235,HEALTHY CRAVE,place,Riyadh,Riyadh,24.77627299,46.78888152,2,1,riyadh_places_kaggle,places_04922|places_04925
