canonical_id,source,source_entity_id,entity_type,name,city,region
RYD_004614,riyadh_places_kaggle,places_01655,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004615,riyadh_places_kaggle,places_02308,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004616,riyadh_places_kaggle,places_03332,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004617,riyadh_places_kaggle,places_07298,place,Little Caesar's pizza,Riyadh,Riyadh
RYD_004618,entertainment_kaggle,entertainment_00222,entertainment,Little Red Sand,Riyadh,Riyadh
RYD_004619,entertainment_kaggle,entertainment_00251,entertainment,Little Red Sand,Riyadh,Riyadh
RYD_004620,riyadh_places_kaggle,places_02943,place,Little Skilled,Riyadh,Riyadh
RYD_004621,riyadh_places_kaggle,places_06985,place,Little Skilled,Riyadh,Riyadh
RYD_004622,riyadh_places_kaggle,places_03019,place,Liu,Riyadh,Riyadh
RYD_004623,entertainment_kaggle,entertainment_00141,entertainment,Live Show Arabia,Riyadh,Riyadh
RYD_004624,entertainment_kaggle,entertainment_00150,entertainment,Live Show Arabia,Riyadh,Riyadh
RYD_004625,riyadh_places_kaggle,places_06641,place,Liver &amp; More Restaurant,Riyadh,Riyadh
RYD_004626,riyadh_places_kaggle,places_06483,place,Liver and Cheese,Riyadh,Riyadh
RYD_004627,riyadh_places_kaggle,places_01830,place,Liver and Meat,Riyadh,Riyadh
RYD_004628,riyadh_places_kaggle,places_01985,place,Liver and Meat,Riyadh,Riyadh
RYD_004629,riyadh_places_kaggle,places_03606,place,Liver and Meat,Riyadh,Riyadh
RYD_004630,riyadh_places_kaggle,places_06015,place,Liver and pasta,Riyadh,Riyadh
RYD_004631,riyadh_places_kaggle,places_00150,place,Liver shot,Riyadh,Riyadh
RYD_004632,riyadh_places_kaggle,places_03134,place,Livin,Riyadh,Riyadh
RYD_004633,riyadh_places_kaggle,places_04364,place,Loaded Burger,Riyadh,Riyadh
RYD_004634,riyadh_places_kaggle,places_07001,place,Loaded Burger,Riyadh,Riyadh
RYD_004635,riyadh_places_kaggle,places_02800,place,Lobstrol,Riyadh,Riyadh
RYD_004636,riyadh_places_kaggle,places_05742,place,Lobstrol,Riyadh,Riyadh
RYD_004637,riyadh_places_kaggle,places_06487,place,Lobstrol,Riyadh,Riyadh
RYD_004638,riyadh_places_kaggle,places_05204,place,Log out,Riyadh,Riyadh
RYD_004639,riyadh_places_kaggle,places_03637,place,Loga,Riyadh,Riyadh
RYD_004640,riyadh_places_kaggle,places_04951,place,Logaimat Ajdadina,Riyadh,Riyadh
RYD_004641,riyadh_places_kaggle,places_05961,place,Logaimat Ajdadina,Riyadh,Riyadh
RYD_004642,riyadh_places_kaggle,places_00440,place,Logaimat Maram Al Amal,Riyadh,Riyadh
RYD_004643,riyadh_places_kaggle,places_07924,place,Logimat Al Dar,Riyadh,Riyadh
RYD_004644,riyadh_places_kaggle,places_00320,place,Logimat And Karak,Riyadh,Riyadh
RYD_004645,riyadh_places_kaggle,places_01020,place,Logimat And Karak,Riyadh,Riyadh
RYD_004646,riyadh_places_kaggle,places_02251,place,Logimat And Karak,Riyadh,Riyadh
