entity_id,entity_type,name,category,city,region,latitude,longitude,rating_norm,price_sar,source,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00087,place,Madghout Raydan,restaurants,Riyadh,Riyadh,24.637439,46.701205,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00088,place,Al Baik,restaurants,Riyadh,Riyadh,24.6290159,46.7399009,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00089,place,Cubano,restaurants,Riyadh,Riyadh,24.628601,46.739527,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00090,place,Grill &amp; Rice Restaurant,restaurants,Riyadh,Riyadh,24.628601,46.739527,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00091,place,Cone Zone,restaurants,Riyadh,Riyadh,24.665646,46.731484,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00092,place,Mac Coy's,restaurants,Riyadh,Riyadh,24.6658717,46.731114,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00093,place,Zaitoon,restaurants,Riyadh,Riyadh,24.66532323,46.71171414,0.76,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00094,place,Lorenzo Pizza,restaurants,Riyadh,Riyadh,24.6576106,46.7017866,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00095,place,Al Tazaj,restaurants,Riyadh,Riyadh,24.666225,46.711621,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00096,place,Food Corner,restaurants,Riyadh,Riyadh,24.6669023,46.7129918,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00097,place,Remarkable Chicken,restaurants,Riyadh,Riyadh,24.6683535,46.7302751,0.48,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00098,place,Samar Qandi,restaurants,Riyadh,Riyadh,24.6261949,46.740407,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00099,place,Baskin Robbins,restaurants,Riyadh,Riyadh,24.6685609,46.7300365,0.96,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00100,place,Khana Khazana,restaurants,Riyadh,Riyadh,24.66720997,46.71252992,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00101,place,SPICE MASTER,restaurants,Riyadh,Riyadh,24.66730831,46.71221081,0.74,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00102,place,MEHFIL HYDERABADI RESTAURANT,restaurants,Riyadh,Riyadh,24.6676935,46.7117505,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00103,place,Karak Address,restaurants,Riyadh,Riyadh,24.670131,46.722288,0.76,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00104,place,Wasfa Pharmacy,pharmacies,Riyadh,Riyadh,24.63135373,46.74696554,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00105,place,Pasta flavours,restaurants,Riyadh,Riyadh,24.6638286,46.7051395,0.5,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00106,place,Shrimplion,restaurants,Riyadh,Riyadh,24.6638286,46.7051395,0.2,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00107,place,WORLD HUNTER,restaurants,Riyadh,Riyadh,24.6638286,46.7051395,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00108,place,Bab Tuma,restaurants,Riyadh,Riyadh,24.6700633,46.7276229,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00109,place,Al kornish corner,restaurants,Riyadh,Riyadh,24.637441,46.696944,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00110,place,McDonald's KSA,restaurants,Riyadh,Riyadh,24.6701709,46.7276316,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00111,place,McCafé,restaurants,Riyadh,Riyadh,24.6704843,46.7276592,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00112,place,Krispy Kreme Doughnuts,restaurants,Riyadh,Riyadh,24.663481,46.703758,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00113,place,Chef World,restaurants,Riyadh,Riyadh,24.67084203,46.72223419,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00114,place,Wahed Fool,restaurants,Riyadh,Riyadh,24.660992,46.701261,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00115,place,Kabsrya,restaurants,Riyadh,Riyadh,24.6708859,46.7222409,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00116,place,Lulu Hypermarket,Hypermarket,Riyadh,Riyadh,24.6637625,46.7037656,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00117,place,Al Baik,restaurants,Riyadh,Riyadh,24.66379,46.7037895,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00118,place,Subway,restaurants,Riyadh,Riyadh,24.6612085,46.7011627,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00119,place,Adsam Alakalat,restaurants,Riyadh,Riyadh,24.66621275,46.7403975,0.2,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00120,place,Hala Fal Sweets,restaurants,Riyadh,Riyadh,24.619521,46.73046005,0.74,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00121,place,The shores of Mukalla Restaurant,restaurants,Riyadh,Riyadh,24.6314112,46.7486089,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00122,place,Bandar Adan Sweets,restaurants,Riyadh,Riyadh,24.6313813,46.7486315,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00123,place,Koshary Express,restaurants,Riyadh,Riyadh,24.670863,46.730269,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00124,place,BURGER R,restaurants,Riyadh,Riyadh,24.61865764,46.72793902,0.48,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00125,place,SHAWARMA CHICKEN MARK,restaurants,Riyadh,Riyadh,24.61865764,46.72793902,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00126,place,Madaras Biriyani,restaurants,Riyadh,Riyadh,24.671,46.7307753,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00127,place,Koshary El Tahrir,restaurants,Riyadh,Riyadh,24.6707075,46.7320137,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00128,place,Little Caesar's pizza,restaurants,Riyadh,Riyadh,24.6708695,46.73225,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00129,place,Fast Food Corner,restaurants,Riyadh,Riyadh,24.6306136,46.6981853,0.72,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00130,place,Mission Wok,restaurants,Riyadh,Riyadh,24.6712478,46.7321946,0.45999999999999996,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00131,place,Canton,restaurants,Riyadh,Riyadh,24.6712478,46.7321946,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00132,place,Shabyat Abozaid,restaurants,Riyadh,Riyadh,24.667688,46.70664,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00133,place,Ocean Fish Restaurants,restaurants,Riyadh,Riyadh,24.6173811,46.7235562,0.2,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00134,place,Shawaya House,restaurants,Riyadh,Riyadh,24.671343,46.733341,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00135,place,Point rice Alhamra albukhari restaurants,restaurants,Riyadh,Riyadh,24.64084552,46.69264703,0.6799999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00136,place,Food House,restaurants,Riyadh,Riyadh,24.62873111,46.74944902,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00137,place,Hashikom,restaurants,Riyadh,Riyadh,24.6709691,46.7371172,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00138,place,Heta Iskandarani,restaurants,Riyadh,Riyadh,24.63779906,46.69291615,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00139,place,Sahel Alexandria Restaurant,restaurants,Riyadh,Riyadh,24.63778322,46.69291951,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00140,place,Arab Island breakfast,restaurants,Riyadh,Riyadh,24.6278951,46.697947,0.6799999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00141,place,Arabia Island traditional food,restaurants,Riyadh,Riyadh,24.6278951,46.697947,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00142,place,Fawal Al Taif,restaurants,Riyadh,Riyadh,24.623042,46.744839,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00143,place,Pizza Ram,restaurants,Riyadh,Riyadh,24.671655,46.73731,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00144,place,Sheikh Al Arab Pizza and Koshary,restaurants,Riyadh,Riyadh,24.6151118,46.7199712,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00145,place,Arab Tajine,restaurants,Riyadh,Riyadh,24.6145945,46.7218705,0.74,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00146,place,Mento and Yaghamsh,restaurants,Riyadh,Riyadh,24.6742393,46.71406339,0.52,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00147,place,Awal foal,restaurants,Riyadh,Riyadh,24.63203825,46.69261692,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00148,place,Al malaz Restaurant,restaurants,Riyadh,Riyadh,24.67278705,46.7084516,0.8,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00149,place,Beit Al Biryani An Nasim,restaurants,Riyadh,Riyadh,24.6736804,46.7087615,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00150,place,Liver shot,restaurants,Riyadh,Riyadh,24.613424,46.7201201,0.7,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00151,place,ALHOOT ALAZRAAQ,restaurants,Riyadh,Riyadh,24.61364449,46.7181332,0.7,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00152,place,Karachi Biryani,restaurants,Riyadh,Riyadh,24.67300376,46.70715827,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
